160-62767810,SGN,HKG, Delivered, 03 Jul
160-62767806,SGN,HKG, Delivered, 01 Jul
160-62767795,SGN,HKG, Delivered, 03 Jul
160-62767751,SGN,HKG, Delivered, 02 Jul
160-62767740,SGN,HKG, Delivered, 02 Jul
160-62767095,SYD,HKG, Delivered, 07 Aug
160-62767084,SYD,HKG, Delivered, 29 Jul
160-62767073,SYD,HKG, Delivered, 22 Jul
160-62767051,SYD,HKG, Delivered, 20 Jul
160-62767040,SYD,HKG, Delivered, 15 Jul
160-62766922,SYD,HKG, Delivered, 03 Jul
160-62766911,SYD,HKG, Delivered, 09 Jul
160-62766896,SYD,HKG, Delivered, 06 Jul
160-62766631,DFW,XMN, Freight accepted at airport,CX2091 07 Aug
160-62766605,DFW,XMN, Freight accepted at airport,CX2091 05 Aug
160-62766583,DFW,HKG, Delivered, 03 Aug
160-62766491,JFK,HKG, Delivered, 30 Jul
160-62766336,DFW,HKG, Delivered, 19 Jul
160-62766325,DFW,HKG, Delivered, 19 Jul
160-62766303,LAX,HKG, Delivered, 24 Jul
160-62766141,DFW,HKG, Delivered, 05 Jul
160-62766130,DFW,HKG, Delivered, 05 Jul
160-62765710,LAX,HKG, Delivered, 05 Aug
160-62765695,LAX,HKG, Delivered, 26 Jul
160-62765684,LAX,HKG, Manifest received,CX083 17 Jul
160-62765673,LAX,HKG, Delivered, 11 Jul
160-62765625,JFK,HKG, Delivered, 08 Jul
160-62765570,JFK,HKG, Delivered, 01 Jul
160-62763131,HKG,HYD, Airline Received,CX649 10 Jul
160-62763105,HKG,BOM, Departed,CX663 07 Aug
160-62761705,HKG,CMB, Freight on hand,CX3119 01 Jul
160-62753854,HKG,KTM, Airline Received, 09 Jul
160-62749890,HKG,MNL, Airline Received, 17 Jul
160-62748711,HKG,DEL, Freight accepted at airport,CX041 07 Aug
160-62743962,YYZ,SZX, Freight accepted at airport,CX085 07 Aug
160-62743903,JFK,HKG, Delivered, 27 Jul
160-62743892,JFK,HKG, Delivered, 27 Jul
160-62743881,JFK,HKG, Delivered, 27 Jul
160-62743870,JFK,HKG, Delivered, 27 Jul
160-62743866,JFK,HKG, Delivered, 27 Jul
160-62743855,JFK,HKG, Delivered, 27 Jul
160-62743844,JFK,HKG, Delivered, 27 Jul
160-62743833,JFK,HKG, Delivered, 22 Jul
160-62743822,JFK,HKG, Freight accepted at airport,CX085 05 Aug
160-62743811,JFK,HKG, Delivered, 22 Jul
160-62743800,JFK,HKG, Delivered, 22 Jul
160-62743796,JFK,HKG, Delivered, 19 Jul
160-62743785,JFK,HKG, Delivered, 19 Jul
160-62743774,JFK,HKG, Delivered, 19 Jul
160-62743763,JFK,HKG, Delivered, 19 Jul
160-62743752,JFK,HKG, Delivered, 19 Jul
160-62743741,JFK,HKG, Delivered, 19 Jul
160-62743730,JFK,HKG, Delivered, 19 Jul
160-62743726,JFK,HKG, Delivered, 19 Jul
